frame_idx,timestamp,track_id,label,score,x1,y1,x2,y2,world_x,world_y,in_calibration_roi,speed_kmh
0,0.0,1,car,0.9984146356582642,806.3363037109375,308.41265869140625,995.12158203125,444.58282470703125,5.035482727558413,34.564348665687284,False,0.0
0,0.0,2,car,0.9900528788566589,421.2312927246094,270.96063232421875,588.8234252929688,389.6077575683594,1.7418263050853557,56.571753166782194,False,0.0
0,0.0,3,car,0.985002338886261,521.5267333984375,373.1171569824219,713.809326171875,529.15234375,1.9882986496351787,23.404404607848054,True,0.0
0,0.0,4,car,0.9689183235168457,561.1614379882812,571.707275390625,819.9317016601562,718.1192016601562,1.5948473644741448,-5.6933092415573645,False,0.0
0,0.0,5,car,0.9570852518081665,269.85089111328125,221.0052947998047,336.6000671386719,243.95791625976562,-0.09121108141073324,120.558549132739,False,0.0
0,0.0,6,car,0.9487435221672058,387.090087890625,229.7704315185547,522.473876953125,341.2818908691406,1.482577849855471,72.47329699731131,False,0.0
0,0.0,7,car,0.9119892716407776,600.753173828125,194.9346923828125,735.697265625,309.1569519042969,4.25685961577644,72.23396405004367,False,0.0
0,0.0,8,car,0.8744085431098938,330.5688171386719,191.36798095703125,450.3892517089844,295.3306884765625,0.9442181882479397,91.736547502738,False,0.0
0,0.0,9,bus,0.7587461471557617,77.98246002197266,138.2905731201172,174.30967712402344,237.7319793701172,-3.7718091115608745,144.76047793219752,False,0.0
0,0.0,10,car,0.7433399558067322,190.31275939941406,195.9134521484375,268.1234130859375,240.4341583251953,-1.4816333254571719,130.21994194495102,False,0.0
0,0.0,11,truck,0.7049010992050171,215.3181915283203,163.8254852294922,331.86016845703125,236.81015014648438,-0.5888542308388335,127.16373536853054,False,0.0
1,0.04,1,car,0.9987187385559082,811.7759399414062,310.25714111328125,1001.2836303710938,449.1980285644531,5.039651481363297,33.616410216839114,False,0.0
1,0.04,2,car,0.989543080329895,425.11395263671875,273.1324157714844,588.924072265625,391.1211853027344,1.754114142659334,56.1035019160015,False,0.0
1,0.04,3,car,0.9880075454711914,521.8934326171875,375.052734375,718.7184448242188,531.4368286132812,1.999017583632408,22.954294443511877,True,40.52139990470093
1,0.04,4,car,0.971221923828125,563.2409057617188,577.9170532226562,824.1505126953125,718.0847778320312,1.6198030487482538,-5.688995392921629,False,0.0
1,0.04,5,car,0.9589012265205383,271.1355895996094,219.73406982421875,338.8050842285156,243.93380737304688,-0.0598081040513123,120.3969942907202,False,0.0
1,0.04,6,car,0.9384214878082275,391.0177307128906,231.15184020996094,526.0988159179688,335.3883056640625,1.5772241554556483,74.13002592419764,False,0.0
