frame_idx,timestamp,track_id,label,score,x1,y1,x2,y2,world_x,world_y,in_calibration_roi,calibration_segment,raw_speed_kmh,speed_source,speed_kmh
0,0.0,1,car,0.9984146356582642,806.3363037109375,308.41265869140625,995.12158203125,444.58282470703125,6.759946708998499,46.31368259478599,True,mid_two_lane,0.0,unavailable,0.0
0,0.0,2,car,0.9900528788566589,421.2312927246094,270.96063232421875,588.8234252929688,389.6077575683594,3.16045129457527,67.02090918407106,True,mid_two_lane,0.0,unavailable,0.0
0,0.0,3,car,0.985002338886261,521.5267333984375,373.1171569824219,713.809326171875,529.15234375,1.5524410666485329,18.285049034679712,True,near_two_lane,0.0,unavailable,0.0
0,0.0,4,car,0.9689183235168457,561.1614379882812,571.707275390625,819.9317016601562,718.1192016601562,nan,nan,False,,0.0,unavailable,0.0
0,0.0,5,car,0.9570852518081665,269.85089111328125,221.0052947998047,336.6000671386719,243.95791625976562,2.3597231964954637,309.85631950908186,True,far_two_lane,0.0,unavailable,0.0
0,0.0,6,car,0.9487435221672058,387.090087890625,229.7704315185547,522.473876953125,341.2818908691406,2.9831458202722128,103.4206514541632,True,far_two_lane,0.0,unavailable,0.0
0,0.0,7,car,0.9119892716407776,600.753173828125,194.9346923828125,735.697265625,309.1569519042969,6.160626934573032,151.2174637782327,True,far_two_lane,0.0,unavailable,0.0
0,0.0,8,car,0.8744085431098938,330.5688171386719,191.36798095703125,450.3892517089844,295.3306884765625,2.8056027977278473,193.65790223555717,True,far_two_lane,0.0,unavailable,0.0
0,0.0,9,bus,0.7587461471557617,77.98246002197266,138.2905731201172,174.30967712402344,237.7319793701172,nan,nan,False,,0.0,unavailable,0.0
0,0.0,10,car,0.7433399558067322,190.31275939941406,195.9134521484375,268.1234130859375,240.4341583251953,1.342977842401782,323.5422482471771,True,far_two_lane,0.0,unavailable,0.0
0,0.0,11,truck,0.7049010992050171,215.3181915283203,163.8254852294922,331.86016845703125,236.81015014648438,2.0389184435855454,328.7494484400419,True,far_two_lane,0.0,unavailable,0.0
1,0.04,1,car,0.9987187385559082,811.7759399414062,310.25714111328125,1001.2836303710938,449.1980285644531,6.755381400430577,44.68819834299849,True,mid_two_lane,146.2941596520415,same_segment,146.2941596520415
1,0.04,2,car,0.989543080329895,425.11395263671875,273.1324157714844,588.924072265625,391.1211853027344,3.159469451621482,66.42602186050723,True,mid_two_lane,53.539932043245834,same_segment,53.539932043245834
1,0.04,3,car,0.9880075454711914,521.8934326171875,375.052734375,718.7184448242188,531.4368286132812,1.5563733511863929,17.844823420595528,True,near_two_lane,39.62188585460842,same_segment,39.62188585460842
1,0.04,4,car,0.971221923828125,563.2409057617188,577.9170532226562,824.1505126953125,718.0847778320312,nan,nan,False,,0.0,unavailable,0.0
1,0.04,5,car,0.9589012265205383,271.1355895996094,219.73406982421875,338.8050842285156,243.93380737304688,2.385036557201189,309.7846283011736,True,far_two_lane,6.842602116495112,same_segment,6.842602116495112
1,0.04,6,car,0.9384214878082275,391.0177307128906,231.15184020996094,526.0988159179688,335.3883056640625,3.1125800652202393,113.79915972949368,True,far_two_lane,934.1383819774425,filtered_outlier,0.0
1,0.04,7,car,0.8685609102249146,604.2222900390625,195.4484100341797,737.3771362304688,310.99761962890625,6.159881597352334,147.63101632138753,True,far_two_lane,322.7802780864011,filtered_outlier,0.0
1,0.04,8,car,0.9234160780906677,329.90460205078125,190.08091735839844,451.8985595703125,297.45172119140625,2.7806100612262754,189.39658109338288,True,far_two_lane,383.5254989701699,filtered_outlier,0.0
1,0.04,9,bus,0.7051633596420288,78.69586181640625,138.20350646972656,174.01084899902344,236.49282836914062,nan,nan,False,,0.0,unavailable,0.0
2,0.08,1,car,0.9977038502693176,814.38671875,312.976318359375,1006.3521118164062,452.2975158691406,6.751751880268155,43.59575690580494,True,mid_two_lane,122.30721193876128,same_segment,122.30721193876128
2,0.08,2,car,0.9909678101539612,429.3612976074219,277.96063232421875,591.4636840820312,398.0918273925781,3.082031487473667,63.70582170187925,True,mid_two_lane,149.22066957522873,same_segment,149.22066957522873
2,0.08,3,car,0.9889649152755737,527.7523803710938,380.0138854980469,720.9451293945312,538.4180908203125,1.5329834405455505,16.534793448184022,True,near_two_lane,78.76636823529252,same_segment,78.76636823529252
2,0.08,4,car,0.9634191393852234,562.4266967773438,586.5740356445312,827.720458984375,717.821533203125,nan,nan,False,,0.0,unavailable,0.0
